Country name,City name,Airport Code,Airport Name,Country Abbrev.,World Area Code
Afghanistan,Bamiyan,BIN,Bamiyan,AF,701
Afghanistan,Bost,BST,Bost,AF,701
Afghanistan,Chakcharan,CCN,Chakcharan,AF,701
Afghanistan,Darwaz,DAZ,Darwaz,AF,701
Afghanistan,Faizabad,FBD,Faizabad,AF,701
Afghanistan,Farah,FAH,Farah,AF,701
Afghanistan,Gardez,GRG,Gardez,AF,701
Afghanistan,Ghazni,GZI,Ghazni,AF,701
Afghanistan,Herat,HEA,Herat,AF,701
Afghanistan,Jalalabad,JAA,Jalalabad,AF,701
Afghanistan,Kabul,KBL,Khwaja Rawash,AF,701
Afghanistan,Kandahar,KDH,Kandahar,AF,701
Afghanistan,Khost,KHT,Khost,AF,701
Afghanistan,Khwahan,KWH,Khwahan,AF,701
Afghanistan,Kunduz,UND,Kunduz,AF,701
Afghanistan,Kuran-O-Munjan,KUR,Kuran-O-Munjan,AF,701
Afghanistan,Maimana,MMZ,Maimana,AF,701
Afghanistan,Mazar-I-Sharif,MZR,Mazar-I-Sharif,AF,701
Afghanistan,Nimroz,IMZ,Nimroz,AF,701
Afghanistan,Qala Nau,LQN,Qala Nau,AF,701
Afghanistan,Sardeh Band,SBF,Sardeh Band,AF,701
Afghanistan,Sheghnan,SGA,Sheghnan,AF,701
Afghanistan,Taluqan,TQN,Taluqan,AF,701
Afghanistan,Tirinkot,TII,Tirinkot,AF,701
Afghanistan,Urgoon,URN,Urgoon,AF,701
Afghanistan,Uruzgan,URZ,Uruzgan,AF,701
Afghanistan,Zaranj,ZAJ,Zaranj,AF,701
Albania,Tirana,TIA,Rinas,AL,0
Algeria,Adrar,AZR,Adrar,DZ,500
Algeria,Algiers,ALG,Houari Boumediene,DZ,500
Algeria,Annaba,AAE,Les Salines,DZ,500
Algeria,Batna,BLJ,Batna,DZ,500
Algeria,Bechar,CBH,Leger,DZ,500
Algeria,Bejaia,BJA,Bejaia,DZ,500
Algeria,Biskra,BSK,Biskra,DZ,500
Algeria,Bordj Badji Mokhtar,BMW,Bordj Badji Mokhtar,DZ,500
Algeria,Boussaada,BUJ,Ain Eddis,DZ,500
Algeria,Chlef,CFK,Abou Bakr Belkaid,DZ,500
Algeria,Constantine,CZL,Ain El Bey,DZ,500
Algeria,Djanet,DJG,Inedbirenne,DZ,500
Algeria,El Golea,ELG,El Golea,DZ,500
Algeria,El Oued,ELU,Guemar,DZ,500
Algeria,Gara Djebilet,GBB,Gara Djebilet,DZ,500
Algeria,Ghardaia,GHA,Noumerate,DZ,500
Algeria,Hassi Messaoud,HME,Oued Irara Apt,DZ,500
Algeria,Illizi,VVZ,Illizi,DZ,500
Algeria,In Amenas,IAM,In Amenas,DZ,500
Algeria,In Guezzam,INF,In Guezzam,DZ,500
Algeria,In Salah,INZ,In Salah,DZ,500
Algeria,Jijel,GJL,Jijel,DZ,500
Algeria,Kouba,KDF,Kouba,DZ,500
Algeria,Mascara,MUW,Mascara,DZ,500
Algeria,Mechria,MZW,Mechria,DZ,500
Algeria,Mostaganem,MQV,Mostaganem,DZ,500
Algeria,Oran,ORN,Es Senia,DZ,500
Algeria,Oran,TAF,Tafaraoui,DZ,500
Algeria,Ouargla,OGX,Ain Beida,DZ,500
Algeria,Setif,QSF,Setif,DZ,500
Algeria,Sidi Belabbes,BFW,Sidi Belabbes,DZ,500
Algeria,Skikda,SKI,Skikda,DZ,500
Algeria,Tamanrasset,TMR,Aguemar,DZ,500
Algeria,Tbessa,TEE,Tbessa,DZ,500
Algeria,Tiaret,TID,Bouchekif,DZ,500
Algeria,Timimoun,TMX,Timimoun,DZ,500
Algeria,Tindouf,TIN,Tindouf,DZ,500
Algeria,Tlemcen,TLM,Zenata,DZ,500
Algeria,Touggourt,TGR,Touggourt,DZ,500
America,Oakland,CTQ,Oakland,USA,316
American Samoa,Fitiuta,FTI,Fitiuta,AS,5
American Samoa,Ofu,OFU,Ofu,AS,5
American Samoa,Pago Pago,PPG,International,AS,5
American Samoa,Tau,TAV,Tau,AS,5
Angola,Ambriz,AZZ,Ambriz,AO,502
Angola,Andulo,ANL,Andulo,AO,502
Angola,Benguela,BUG,Gen V Deslandes,AO,502
Angola,Cabinda,CAB,Cabinda,AO,502
Angola,Cafunfo,CFF,Cafunfo,AO,502
Angola,Cangamba,CNZ,Cangamba,AO,502
Angola,Capanda,KNP,Capanda,AO,502
Angola,Catumbela,CBT,Catumbela,AO,502
Angola,Cazombo,CAV,Cazombo,AO,502
Angola,Chitato,PGI,Chitato,AO,502
Angola,Cuito Cuanavale,CTI,Cuito Cuanavale,AO,502
Angola,Dirico,DRC,Dirico,AO,502
Angola,Huambo,NOV,Huambo,AO,502
Angola,Jamba,JMB,Jamba,AO,502
Angola,Kuito,SVP,Kuito (Silva Porto),AO,502
Angola,Luanda,LAD,4 de Fevereiro,AO,502
Angola,Luau,UAL,Luau,AO,502
Angola,Lubango,SDD,Lubango,AO,502
Angola,Luena,LUO,Luena,AO,502
Angola,Lukapa,LBZ,Lukapa,AO,502
Angola,Lumbala,GGC,Lumbala,AO,502
Angola,Luzamba,LZM,Luzamba,AO,502
Angola,Malange,MEG,Malange,AO,502
Angola,Menongue,SPP,Menongue,AO,502
Angola,Namibe,MSZ,Namibe,AO,502
Angola,Ndalatandos,NDF,Ndalatandos,AO,502
Angola,Negage,GXG,Negage,AO,502
Angola,Ngiva,NGV,Ngiva,AO,502
Angola,Nzagi,NZA,Nzagi,AO,502
Angola,Ongiva,VPE,Ongiva,AO,502
Angola,Porto Amboim,PBN,Porto Amboim,AO,502
Angola,Saurimo,VHC,Saurimo,AO,502
Angola,Soyo,SZA,Soyo,AO,502
Angola,Sumbe,NDD,Sumbe,AO,502
Angola,Uige,UGO,Uige,AO,502
Angola,Waco Kungo,CEO,Waco Kungo,AO,502
Angola,Xangongo,XGN,Xangongo,AO,502
Anguilla,Anguilla,AXA,Wallblake,AI,202
Antigua and Barbuda,Antigua,ANU,V.C. Bird Intl,AG,206
Antigua and Barbuda,Barbuda,BBQ,Barbuda,AG,206
Argentina,Alto Rio Senguerr,ARR,Alto Rio Senguerr,AR,303
Argentina,Bahia Blanca,BHI,Comandante,AR,303
Argentina,Buenos Aires,AEP,Arpt. Jorge Newbery,AR,303
Argentina,Buenos Aires,EZE,Ezeiza Ministro Pistarini,AR,303
Argentina,Caleta Olivia,CVI,Caleta Olivia,AR,303
Argentina,Carmen De Patagones,CPG,Carmen De Patagones,AR,303
Argentina,Catamarca,CTC,Catamarca,AR,303
Argentina,Caviahue,CVH,Caviahue,AR,303
Argentina,Ceres,CRR,Ceres,AR,303
Argentina,Charata,CNT,Charata,AR,303
Argentina,Chos Malal,HOS,Oscar Reguera,AR,303
Argentina,Clorinda,CLX,Clorinda,AR,303
Argentina,Colonia Catriel,CCT,Colonia Catriel,AR,303
Argentina,Colonia Sarmiento,OLN,Colonia Sarmiento,AR,303
Argentina,Comodoro Rivadavia,CRD,Comodoro Rivadavia,AR,303
Argentina,Concordia,COC,Concordia,AR,303
Argentina,Cordoba,COR,Pajas Blancas,AR,303
Argentina,Coronel Suarez,CSZ,Brigadier Hector Ruiz,AR,303
Argentina,Corrientes,CNQ,Camba Punta,AR,303
Argentina,Curuzu Cuatia,UZU,Curuzu Cuatia,AR,303
Argentina,Cutral,CUT,Cutral,AR,303
Argentina,El Bolson,EHL,El Bolson,AR,303
Argentina,El Calafate,FTE,El Calafate,AR,303
Argentina,El Maiten,EMX,El Maiten,AR,303
Argentina,El Palomar,EPA,El Palomar,AR,303
Argentina,Eldorado,ELO,Eldorado,AR,303
Argentina,Esquel,EQS,Esquel,AR,303
Argentina,Formosa,FMA,El Pucu,AR,303
Argentina,General Pico,GPO,General Pico,AR,303
Argentina,General Roca,GNR,General Roca,AR,303
Argentina,General Villegas,VGS,General Villegas,AR,303
Argentina,Gobernador Gregores,GGS,Gobernador Gregores,AR,303
Argentina,Goya,OYA,Goya,AR,303
Argentina,Gualeguaychu,GHU,Gualeguaychu,AR,303
Argentina,Iguazu,IGR,Cataratas,AR,303
Argentina,Ingeniero Jacobacci,IGB,Ingeniero Jacobacci,AR,303
Argentina,Jose De San Martin,JSM,Jose De San Martin,AR,303
Argentina,Jujuy,JUJ,El Cadillal,AR,303
Argentina,Junin,JNI,Junin,AR,303
Argentina,La Cumbre,LCM,La Cumbre,AR,303
Argentina,La Plata,LPG,La Plata,AR,303
Argentina,La Rioja,IRJ,La Rioja,AR,303
Argentina,Lago Argentino,ING,Lago Argentino,AR,303
